SPECIMENID,YEAROFCOLLECTION,MONTH,COUNTY,SUBCOUNTY,Ward,VILLAGE,SPECIES,SEX,ABDOMENSTATUS,HOUSENO,METHODCOLLECTION,Place of Collection,SUBSPECIES,SPOROZOITESTATUS,BLOODMEASSTATUS,
1,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,2,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
2,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,2,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
3,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
4,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. gambiae s.s,Negative,Not applicable,
5,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
6,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
7,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
8,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
9,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
10,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
11,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
12,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
13,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
14,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
15,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
16,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
17,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
18,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
19,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
